id,first_name,last_name,games_played,total_points,avg_points,high_score,low_score,final_cost,final_selections,is_def,is_mid,is_ruc,is_fwd
295467,Jack,Macrae,22,2544,115.6,180,69,844000,62193,False,True,False,False
293957,Brodie,Grundy,22,2686,122.1,181,78,818000,96020,False,False,True,False
996701,Clayton,Oliver,22,2329,105.9,161,62,728000,14292,False,True,False,False
296347,Josh,Kelly,14,1623,115.9,148,75,780000,10990,False,True,False,False
291969,Stephen,Coniglio,15,1555,103.7,192,0,726000,13095,False,True,False,False
270917,Patrick,Dangerfield,21,2257,107.5,162,38,725000,94247,False,True,False,True
990704,Patrick,Cripps,20,2029,101.5,163,45,664000,58818,False,True,False,False
271001,Dayne,Beams,9,798,88.7,128,54,611000,2999,False,True,False,False
290801,Andrew,Gaff,20,2220,111,144,91,727000,37401,False,True,False,False
291790,Adam,Treloar,22,2489,113.1,152,74,766000,47816,False,True,False,False
292128,Elliot,Yeo,21,2157,102.7,146,71,707000,12244,False,True,False,False
297401,Matt,Crouch,19,2017,106.2,151,53,743000,12398,False,True,False,False
290528,Max,Gawn,21,2337,111.3,154,50,746000,64547,False,False,True,False
291771,Devon,Smith,7,556,79.4,101,41,580000,13557,False,True,False,True
293846,Sebastian,Ross,22,2075,94.3,146,57,681000,3875,False,True,False,False
293222,Rory,Laird,22,2132,96.9,134,74,659000,69091,True,False,False,False
220001,Gary,Ablett,21,1863,88.7,121,51,616000,9363,False,True,False,True
250417,Bryce,Gibbs,12,970,80.8,111,50,554000,1096,False,True,False,False
281065,Mitch,Duncan,22,2324,105.6,144,73,661000,11726,False,True,False,False
294557,Lachie,Hunter,22,2170,98.6,154,57,670000,3700,False,True,False,False
298279,Angus,Brayshaw,22,1937,88,129,44,566000,14329,False,True,False,False
250105,Marc,Murphy,19,1822,95.9,135,10,698000,7752,False,True,False,False
290629,Dyson,Heppell,17,1595,93.8,123,59,597000,1608,False,True,False,False
291570,Nat,Fyfe,20,2099,105,133,61,707000,16883,False,True,False,False
295342,Jake,Lloyd,22,2356,107.1,149,48,677000,82990,True,False,False,False
992016,Zach,Merrett,22,2381,108.2,143,50,761000,30263,False,True,False,False
280965,Steele,Sidebottom,21,2069,98.5,128,48,705000,6838,False,True,False,False
260750,Justin,Westhoff,20,1545,77.3,132,37,505000,16910,False,False,True,True
260257,Scott,Pendlebury,22,2279,103.6,148,79,730000,9278,False,True,False,False
280763,Stefan,Martin,22,1865,84.8,125,54,591000,7096,False,False,True,False
294305,Lachie,Whitfield,16,1820,113.8,190,39,734000,57928,True,True,False,False
294307,Brad,Crouch,22,2373,107.9,132,62,715000,65715,False,True,False,False
261224,Dayne,Zorko,22,2296,104.4,143,53,712000,6855,False,True,False,False
291776,Taylor,Adams,10,951,95.1,123,49,654000,2949,False,True,False,False
250321,Joel,Selwood,20,1577,78.9,115,40,498000,2749,False,True,False,False
281373,Jack,Redden,21,1928,91.8,135,54,605000,1107,False,True,False,False
294199,Sam,Menegola,9,698,77.6,109,37,549000,3051,False,True,False,True
270146,Ed,Curnow,22,1977,89.9,125,33,680000,11326,False,True,False,True
280109,Callan,Ward,1,3,3,3,3,642000,194,False,True,False,False
293535,Lachie,Neale,22,2304,104.7,162,74,680000,32151,False,True,False,False
294613,Jaeger,O'Meara,21,2092,99.6,136,56,642000,7422,False,True,False,False
291975,Jarrod,Witts,22,2297,104.4,154,75,733000,12359,False,False,True,False
296205,Jack,Steele,20,1919,96,132,62,656000,1238,False,True,False,False
996487,Tom,Phillips,22,1990,90.5,132,49,584000,2317,False,True,False,False
270912,Jack,Steven,7,532,76,105,43,559000,279,False,True,False,False
270951,David,Zaharakis,20,1590,79.5,125,17,457000,728,False,True,False,False
290847,Dustin,Martin,20,1942,97.1,140,58,712000,52855,False,True,False,True
290778,Luke,Parker,22,2167,98.5,157,53,622000,3349,False,True,False,False
280737,Liam,Shiels,19,1812,95.4,145,25,655000,1055,False,True,False,False
297566,James,Sicily,22,1840,83.6,121,44,501000,21224,True,False,False,False
230202,Kade,Simpson,18,1444,80.2,142,45,627000,19768,True,False,False,False
260227,Shaun,Higgins,17,1620,95.3,135,9,645000,3780,False,True,False,False
297373,Marcus,Bontempelli,22,2303,104.7,139,65,727000,12514,False,True,False,False
294737,Callum,Sinclair,14,1072,76.6,120,13,521000,1675,False,False,True,False
293716,Jarryd,Lyons,22,2146,97.5,158,37,768000,3088,False,True,False,False
298450,Connor,Blakely,14,1047,74.8,104,35,521000,2595,True,False,False,False
996483,Toby,McLean,18,1227,68.2,104,16,432000,1821,False,True,False,True
280921,Ben,Cunnington,22,1803,82,114,39,516000,1523,False,True,False,False
240399,Lance,Franklin,10,705,70.5,117,35,503000,4706,False,False,False,True
294318,Ollie,Wines,12,1120,93.3,131,58,654000,595,False,True,False,False
298539,Isaac,Heeney,22,1975,89.8,121,57,621000,29985,False,True,False,True
261911,Brad,Ebert,11,881,80.1,121,31,496000,517,False,True,False,True
270963,Rory,Sloane,22,2191,99.6,144,30,624000,17095,False,True,False,False
290738,Jared,Polec,22,1940,88.2,124,58,615000,1114,False,True,False,False
993834,Josh,Dunkley,22,2444,111.1,189,67,818000,50190,False,True,False,True
1005530,Ryan,Abbott,1,73,73,73,73,526000,684,False,False,True,False
291783,Dylan,Shiel,21,2065,98.3,136,75,647000,4246,False,True,False,False
