id,first_name,last_name,round,price
295467,Jack,Macrae,1,890000
295467,Jack,Macrae,2,880000
295467,Jack,Macrae,3,871000
295467,Jack,Macrae,4,869000
295467,Jack,Macrae,5,858000
295467,Jack,Macrae,6,837000
295467,Jack,Macrae,7,806000
295467,Jack,Macrae,8,775000
295467,Jack,Macrae,9,746000
295467,Jack,Macrae,10,730000
295467,Jack,Macrae,11,707000
295467,Jack,Macrae,12,675000
295467,Jack,Macrae,13,675000
295467,Jack,Macrae,14,678000
295467,Jack,Macrae,15,726000
295467,Jack,Macrae,16,775000
295467,Jack,Macrae,17,804000
295467,Jack,Macrae,18,817000
295467,Jack,Macrae,19,823000
295467,Jack,Macrae,20,824000
295467,Jack,Macrae,21,841000
295467,Jack,Macrae,22,857000
295467,Jack,Macrae,23,856000
295467,Jack,Macrae,24,844000
293957,Brodie,Grundy,1,871000
293957,Brodie,Grundy,2,848000
293957,Brodie,Grundy,3,826000
293957,Brodie,Grundy,4,813000
293957,Brodie,Grundy,5,828000
293957,Brodie,Grundy,6,813000
293957,Brodie,Grundy,7,808000
293957,Brodie,Grundy,8,792000
293957,Brodie,Grundy,9,799000
293957,Brodie,Grundy,10,823000
293957,Brodie,Grundy,11,858000
293957,Brodie,Grundy,12,872000
293957,Brodie,Grundy,13,862000
293957,Brodie,Grundy,14,862000
293957,Brodie,Grundy,15,873000
293957,Brodie,Grundy,16,868000
293957,Brodie,Grundy,17,851000
293957,Brodie,Grundy,18,845000
293957,Brodie,Grundy,19,872000
293957,Brodie,Grundy,20,858000
293957,Brodie,Grundy,21,862000
293957,Brodie,Grundy,22,852000
293957,Brodie,Grundy,23,822000
293957,Brodie,Grundy,24,818000
996701,Clayton,Oliver,1,792000
996701,Clayton,Oliver,2,769000
996701,Clayton,Oliver,3,765000
996701,Clayton,Oliver,4,745000
996701,Clayton,Oliver,5,734000
996701,Clayton,Oliver,6,732000
996701,Clayton,Oliver,7,731000
996701,Clayton,Oliver,8,724000
996701,Clayton,Oliver,9,752000
996701,Clayton,Oliver,10,771000
996701,Clayton,Oliver,11,754000
996701,Clayton,Oliver,12,741000
996701,Clayton,Oliver,13,727000
996701,Clayton,Oliver,14,727000
996701,Clayton,Oliver,15,716000
996701,Clayton,Oliver,16,716000
996701,Clayton,Oliver,17,726000
996701,Clayton,Oliver,18,712000
996701,Clayton,Oliver,19,708000
996701,Clayton,Oliver,20,707000
996701,Clayton,Oliver,21,705000
996701,Clayton,Oliver,22,718000
996701,Clayton,Oliver,23,723000
996701,Clayton,Oliver,24,728000
296347,Josh,Kelly,1,787000
296347,Josh,Kelly,2,787000
296347,Josh,Kelly,3,787000
296347,Josh,Kelly,4,777000
296347,Josh,Kelly,5,771000
296347,Josh,Kelly,6,763000
296347,Josh,Kelly,7,758000
296347,Josh,Kelly,8,758000
296347,Josh,Kelly,9,757000
296347,Josh,Kelly,10,763000
296347,Josh,Kelly,11,780000
296347,Josh,Kelly,12,806000
296347,Josh,Kelly,13,828000
296347,Josh,Kelly,14,854000
296347,Josh,Kelly,15,854000
296347,Josh,Kelly,16,866000
296347,Josh,Kelly,17,850000
296347,Josh,Kelly,18,850000
296347,Josh,Kelly,19,850000
296347,Josh,Kelly,20,850000
296347,Josh,Kelly,21,850000
296347,Josh,Kelly,22,850000
296347,Josh,Kelly,23,807000
296347,Josh,Kelly,24,780000
291969,Stephen,Coniglio,1,801000
291969,Stephen,Coniglio,2,831000
291969,Stephen,Coniglio,3,811000
291969,Stephen,Coniglio,4,791000
291969,Stephen,Coniglio,5,776000
291969,Stephen,Coniglio,6,773000
291969,Stephen,Coniglio,7,771000
291969,Stephen,Coniglio,8,757000
291969,Stephen,Coniglio,9,727000
291969,Stephen,Coniglio,10,727000
291969,Stephen,Coniglio,11,687000
291969,Stephen,Coniglio,12,713000
291969,Stephen,Coniglio,13,724000
291969,Stephen,Coniglio,14,738000
291969,Stephen,Coniglio,15,738000
291969,Stephen,Coniglio,16,751000
291969,Stephen,Coniglio,17,779000
291969,Stephen,Coniglio,18,726000
291969,Stephen,Coniglio,19,726000
291969,Stephen,Coniglio,20,726000
291969,Stephen,Coniglio,21,726000
291969,Stephen,Coniglio,22,726000
291969,Stephen,Coniglio,23,726000
291969,Stephen,Coniglio,24,726000
270917,Patrick,Dangerfield,1,771000
270917,Patrick,Dangerfield,2,768000
270917,Patrick,Dangerfield,3,780000
270917,Patrick,Dangerfield,4,801000
270917,Patrick,Dangerfield,5,784000
270917,Patrick,Dangerfield,6,765000
270917,Patrick,Dangerfield,7,768000
270917,Patrick,Dangerfield,8,724000
270917,Patrick,Dangerfield,9,691000
270917,Patrick,Dangerfield,10,667000
270917,Patrick,Dangerfield,11,667000
270917,Patrick,Dangerfield,12,659000
270917,Patrick,Dangerfield,13,692000
270917,Patrick,Dangerfield,14,692000
270917,Patrick,Dangerfield,15,721000
270917,Patrick,Dangerfield,16,732000
270917,Patrick,Dangerfield,17,742000
270917,Patrick,Dangerfield,18,754000
270917,Patrick,Dangerfield,19,747000
270917,Patrick,Dangerfield,20,742000
270917,Patrick,Dangerfield,21,714000
270917,Patrick,Dangerfield,22,700000
270917,Patrick,Dangerfield,23,697000
270917,Patrick,Dangerfield,24,725000
990704,Patrick,Cripps,1,793000
990704,Patrick,Cripps,2,787000
990704,Patrick,Cripps,3,785000
990704,Patrick,Cripps,4,788000
990704,Patrick,Cripps,5,819000
990704,Patrick,Cripps,6,823000
990704,Patrick,Cripps,7,812000
990704,Patrick,Cripps,8,799000
990704,Patrick,Cripps,9,786000
990704,Patrick,Cripps,10,737000
990704,Patrick,Cripps,11,698000
990704,Patrick,Cripps,12,654000
990704,Patrick,Cripps,13,658000
990704,Patrick,Cripps,14,646000
990704,Patrick,Cripps,15,646000
990704,Patrick,Cripps,16,646000
990704,Patrick,Cripps,17,646000
990704,Patrick,Cripps,18,645000
990704,Patrick,Cripps,19,620000
990704,Patrick,Cripps,20,633000
990704,Patrick,Cripps,21,627000
990704,Patrick,Cripps,22,645000
990704,Patrick,Cripps,23,642000
990704,Patrick,Cripps,24,664000
271001,Dayne,Beams,1,768000
271001,Dayne,Beams,2,758000
271001,Dayne,Beams,3,762000
271001,Dayne,Beams,4,751000
271001,Dayne,Beams,5,751000
271001,Dayne,Beams,6,733000
271001,Dayne,Beams,7,719000
271001,Dayne,Beams,8,686000
271001,Dayne,Beams,9,686000
271001,Dayne,Beams,10,664000
271001,Dayne,Beams,11,645000
271001,Dayne,Beams,12,611000
271001,Dayne,Beams,13,611000
271001,Dayne,Beams,14,611000
271001,Dayne,Beams,15,611000
271001,Dayne,Beams,16,611000
271001,Dayne,Beams,17,611000
271001,Dayne,Beams,18,611000
271001,Dayne,Beams,19,611000
271001,Dayne,Beams,20,611000
271001,Dayne,Beams,21,611000
271001,Dayne,Beams,22,611000
271001,Dayne,Beams,23,611000
271001,Dayne,Beams,24,611000
290801,Andrew,Gaff,1,803000
290801,Andrew,Gaff,2,803000
290801,Andrew,Gaff,3,803000
290801,Andrew,Gaff,4,790000
290801,Andrew,Gaff,5,792000
290801,Andrew,Gaff,6,793000
290801,Andrew,Gaff,7,779000
290801,Andrew,Gaff,8,788000
290801,Andrew,Gaff,9,788000
290801,Andrew,Gaff,10,794000
290801,Andrew,Gaff,11,800000
290801,Andrew,Gaff,12,809000
290801,Andrew,Gaff,13,797000
290801,Andrew,Gaff,14,797000
290801,Andrew,Gaff,15,773000
290801,Andrew,Gaff,16,761000
290801,Andrew,Gaff,17,748000
290801,Andrew,Gaff,18,738000
290801,Andrew,Gaff,19,732000
290801,Andrew,Gaff,20,726000
290801,Andrew,Gaff,21,721000
290801,Andrew,Gaff,22,718000
290801,Andrew,Gaff,23,715000
290801,Andrew,Gaff,24,727000
291790,Adam,Treloar,1,787000
291790,Adam,Treloar,2,796000
291790,Adam,Treloar,3,826000
291790,Adam,Treloar,4,833000
291790,Adam,Treloar,5,813000
291790,Adam,Treloar,6,794000
291790,Adam,Treloar,7,773000
291790,Adam,Treloar,8,763000
291790,Adam,Treloar,9,762000
291790,Adam,Treloar,10,765000
291790,Adam,Treloar,11,768000
291790,Adam,Treloar,12,748000
291790,Adam,Treloar,13,744000
291790,Adam,Treloar,14,744000
291790,Adam,Treloar,15,749000
291790,Adam,Treloar,16,765000
291790,Adam,Treloar,17,770000
291790,Adam,Treloar,18,781000
291790,Adam,Treloar,19,781000
291790,Adam,Treloar,20,785000
291790,Adam,Treloar,21,793000
291790,Adam,Treloar,22,794000
291790,Adam,Treloar,23,778000
291790,Adam,Treloar,24,766000
292128,Elliot,Yeo,1,775000
292128,Elliot,Yeo,2,765000
292128,Elliot,Yeo,3,735000
292128,Elliot,Yeo,4,695000
292128,Elliot,Yeo,5,672000
292128,Elliot,Yeo,6,646000
292128,Elliot,Yeo,7,636000
292128,Elliot,Yeo,8,663000
292128,Elliot,Yeo,9,680000
292128,Elliot,Yeo,10,714000
292128,Elliot,Yeo,11,752000
292128,Elliot,Yeo,12,756000
292128,Elliot,Yeo,13,756000
292128,Elliot,Yeo,14,756000
292128,Elliot,Yeo,15,765000
292128,Elliot,Yeo,16,755000
292128,Elliot,Yeo,17,731000
292128,Elliot,Yeo,18,724000
292128,Elliot,Yeo,19,711000
292128,Elliot,Yeo,20,702000
292128,Elliot,Yeo,21,706000
292128,Elliot,Yeo,22,699000
292128,Elliot,Yeo,23,700000
292128,Elliot,Yeo,24,707000
297401,Matt,Crouch,1,761000
297401,Matt,Crouch,2,777000
297401,Matt,Crouch,3,782000
297401,Matt,Crouch,4,778000
297401,Matt,Crouch,5,769000
297401,Matt,Crouch,6,759000
297401,Matt,Crouch,7,748000
297401,Matt,Crouch,8,749000
297401,Matt,Crouch,9,716000
297401,Matt,Crouch,10,716000
297401,Matt,Crouch,11,716000
297401,Matt,Crouch,12,716000
297401,Matt,Crouch,13,705000
297401,Matt,Crouch,14,695000
297401,Matt,Crouch,15,695000
297401,Matt,Crouch,16,686000
297401,Matt,Crouch,17,676000
297401,Matt,Crouch,18,677000
297401,Matt,Crouch,19,672000
297401,Matt,Crouch,20,663000
297401,Matt,Crouch,21,673000
297401,Matt,Crouch,22,709000
297401,Matt,Crouch,23,714000
297401,Matt,Crouch,24,743000
290528,Max,Gawn,1,808000
290528,Max,Gawn,2,781000
290528,Max,Gawn,3,762000
290528,Max,Gawn,4,748000
290528,Max,Gawn,5,751000
290528,Max,Gawn,6,747000
290528,Max,Gawn,7,748000
290528,Max,Gawn,8,754000
290528,Max,Gawn,9,745000
290528,Max,Gawn,10,748000
290528,Max,Gawn,11,763000
290528,Max,Gawn,12,781000
290528,Max,Gawn,13,812000
290528,Max,Gawn,14,812000
290528,Max,Gawn,15,835000
290528,Max,Gawn,16,807000
290528,Max,Gawn,17,807000
290528,Max,Gawn,18,780000
290528,Max,Gawn,19,752000
290528,Max,Gawn,20,742000
290528,Max,Gawn,21,736000
290528,Max,Gawn,22,726000
290528,Max,Gawn,23,722000
290528,Max,Gawn,24,746000
291771,Devon,Smith,1,774000
291771,Devon,Smith,2,765000
291771,Devon,Smith,3,744000
291771,Devon,Smith,4,727000
291771,Devon,Smith,5,701000
291771,Devon,Smith,6,701000
291771,Devon,Smith,7,648000
291771,Devon,Smith,8,612000
291771,Devon,Smith,9,580000
291771,Devon,Smith,10,580000
291771,Devon,Smith,11,580000
291771,Devon,Smith,12,580000
291771,Devon,Smith,13,580000
291771,Devon,Smith,14,580000
291771,Devon,Smith,15,580000
291771,Devon,Smith,16,580000
291771,Devon,Smith,17,580000
291771,Devon,Smith,18,580000
291771,Devon,Smith,19,580000
291771,Devon,Smith,20,580000
291771,Devon,Smith,21,580000
291771,Devon,Smith,22,580000
291771,Devon,Smith,23,580000
291771,Devon,Smith,24,580000
293846,Sebastian,Ross,1,779000
293846,Sebastian,Ross,2,763000
293846,Sebastian,Ross,3,736000
293846,Sebastian,Ross,4,694000
293846,Sebastian,Ross,5,684000
293846,Sebastian,Ross,6,680000
293846,Sebastian,Ross,7,693000
293846,Sebastian,Ross,8,694000
293846,Sebastian,Ross,9,691000
293846,Sebastian,Ross,10,668000
293846,Sebastian,Ross,11,647000
293846,Sebastian,Ross,12,621000
293846,Sebastian,Ross,13,621000
293846,Sebastian,Ross,14,610000
293846,Sebastian,Ross,15,615000
293846,Sebastian,Ross,16,630000
293846,Sebastian,Ross,17,621000
293846,Sebastian,Ross,18,609000
293846,Sebastian,Ross,19,591000
293846,Sebastian,Ross,20,613000
293846,Sebastian,Ross,21,630000
293846,Sebastian,Ross,22,654000
293846,Sebastian,Ross,23,670000
293846,Sebastian,Ross,24,681000
293222,Rory,Laird,1,782000
293222,Rory,Laird,2,778000
293222,Rory,Laird,3,758000
293222,Rory,Laird,4,730000
293222,Rory,Laird,5,718000
293222,Rory,Laird,6,705000
293222,Rory,Laird,7,696000
293222,Rory,Laird,8,689000
293222,Rory,Laird,9,687000
293222,Rory,Laird,10,682000
293222,Rory,Laird,11,677000
293222,Rory,Laird,12,680000
293222,Rory,Laird,13,675000
293222,Rory,Laird,14,680000
293222,Rory,Laird,15,680000
293222,Rory,Laird,16,672000
293222,Rory,Laird,17,667000
293222,Rory,Laird,18,664000
293222,Rory,Laird,19,650000
293222,Rory,Laird,20,639000
293222,Rory,Laird,21,655000
293222,Rory,Laird,22,669000
293222,Rory,Laird,23,664000
293222,Rory,Laird,24,659000
220001,Gary,Ablett,1,754000
220001,Gary,Ablett,2,747000
220001,Gary,Ablett,3,725000
220001,Gary,Ablett,4,690000
220001,Gary,Ablett,5,666000
220001,Gary,Ablett,6,659000
220001,Gary,Ablett,7,663000
220001,Gary,Ablett,8,679000
220001,Gary,Ablett,9,679000
220001,Gary,Ablett,10,663000
220001,Gary,Ablett,11,633000
220001,Gary,Ablett,12,633000
220001,Gary,Ablett,13,628000
220001,Gary,Ablett,14,628000
220001,Gary,Ablett,15,614000
220001,Gary,Ablett,16,586000
220001,Gary,Ablett,17,553000
220001,Gary,Ablett,18,538000
220001,Gary,Ablett,19,531000
220001,Gary,Ablett,20,531000
220001,Gary,Ablett,21,535000
220001,Gary,Ablett,22,560000
220001,Gary,Ablett,23,583000
220001,Gary,Ablett,24,616000
250417,Bryce,Gibbs,1,753000
250417,Bryce,Gibbs,2,737000
250417,Bryce,Gibbs,3,710000
250417,Bryce,Gibbs,4,691000
250417,Bryce,Gibbs,5,691000
250417,Bryce,Gibbs,6,677000
250417,Bryce,Gibbs,7,677000
250417,Bryce,Gibbs,8,642000
250417,Bryce,Gibbs,9,642000
250417,Bryce,Gibbs,10,632000
250417,Bryce,Gibbs,11,632000
250417,Bryce,Gibbs,12,615000
250417,Bryce,Gibbs,13,615000
250417,Bryce,Gibbs,14,615000
250417,Bryce,Gibbs,15,615000
250417,Bryce,Gibbs,16,582000
250417,Bryce,Gibbs,17,582000
250417,Bryce,Gibbs,18,582000
250417,Bryce,Gibbs,19,582000
250417,Bryce,Gibbs,20,582000
250417,Bryce,Gibbs,21,575000
250417,Bryce,Gibbs,22,583000
250417,Bryce,Gibbs,23,573000
250417,Bryce,Gibbs,24,554000
281065,Mitch,Duncan,1,739000
281065,Mitch,Duncan,2,734000
281065,Mitch,Duncan,3,732000
281065,Mitch,Duncan,4,730000
281065,Mitch,Duncan,5,722000
281065,Mitch,Duncan,6,705000
281065,Mitch,Duncan,7,710000
281065,Mitch,Duncan,8,722000
281065,Mitch,Duncan,9,750000
281065,Mitch,Duncan,10,778000
281065,Mitch,Duncan,11,797000
281065,Mitch,Duncan,12,787000
281065,Mitch,Duncan,13,795000
281065,Mitch,Duncan,14,795000
281065,Mitch,Duncan,15,795000
281065,Mitch,Duncan,16,785000
281065,Mitch,Duncan,17,758000
281065,Mitch,Duncan,18,749000
281065,Mitch,Duncan,19,737000
