id,first_name,last_name,round,score
295467,Jack,Macrae,23,109
295467,Jack,Macrae,22,107
295467,Jack,Macrae,21,132
295467,Jack,Macrae,20,151
295467,Jack,Macrae,19,127
295467,Jack,Macrae,18,132
295467,Jack,Macrae,17,110
295467,Jack,Macrae,16,106
295467,Jack,Macrae,15,135
295467,Jack,Macrae,14,180
295467,Jack,Macrae,13,140
295467,Jack,Macrae,11,69
295467,Jack,Macrae,10,77
295467,Jack,Macrae,9,109
295467,Jack,Macrae,8,98
295467,Jack,Macrae,7,99
295467,Jack,Macrae,6,91
295467,Jack,Macrae,5,100
295467,Jack,Macrae,4,109
295467,Jack,Macrae,3,132
295467,Jack,Macrae,2,124
295467,Jack,Macrae,1,107
293957,Brodie,Grundy,23,149
293957,Brodie,Grundy,22,90
293957,Brodie,Grundy,21,105
293957,Brodie,Grundy,20,145
293957,Brodie,Grundy,19,79
293957,Brodie,Grundy,18,181
293957,Brodie,Grundy,17,129
293957,Brodie,Grundy,16,100
293957,Brodie,Grundy,15,112
293957,Brodie,Grundy,14,168
293957,Brodie,Grundy,12,95
293957,Brodie,Grundy,11,112
293957,Brodie,Grundy,10,149
293957,Brodie,Grundy,9,152
293957,Brodie,Grundy,8,149
293957,Brodie,Grundy,7,99
293957,Brodie,Grundy,6,123
293957,Brodie,Grundy,5,78
293957,Brodie,Grundy,4,153
293957,Brodie,Grundy,3,122
293957,Brodie,Grundy,2,112
293957,Brodie,Grundy,1,84
996701,Clayton,Oliver,23,112
996701,Clayton,Oliver,22,96
996701,Clayton,Oliver,21,130
996701,Clayton,Oliver,20,103
996701,Clayton,Oliver,19,109
996701,Clayton,Oliver,18,117
996701,Clayton,Oliver,17,69
996701,Clayton,Oliver,16,116
996701,Clayton,Oliver,15,111
996701,Clayton,Oliver,14,113
996701,Clayton,Oliver,12,98
996701,Clayton,Oliver,11,108
996701,Clayton,Oliver,10,62
996701,Clayton,Oliver,9,114
996701,Clayton,Oliver,8,161
996701,Clayton,Oliver,7,97
996701,Clayton,Oliver,6,106
996701,Clayton,Oliver,5,114
996701,Clayton,Oliver,4,108
996701,Clayton,Oliver,3,82
996701,Clayton,Oliver,2,130
996701,Clayton,Oliver,1,73
296347,Josh,Kelly,23,120
296347,Josh,Kelly,22,75
296347,Josh,Kelly,16,89
296347,Josh,Kelly,15,120
296347,Josh,Kelly,13,148
296347,Josh,Kelly,12,128
296347,Josh,Kelly,11,140
296347,Josh,Kelly,10,135
296347,Josh,Kelly,9,120
296347,Josh,Kelly,8,115
296347,Josh,Kelly,6,113
296347,Josh,Kelly,5,106
296347,Josh,Kelly,4,114
296347,Josh,Kelly,3,100
291969,Stephen,Coniglio,17,0
291969,Stephen,Coniglio,16,146
291969,Stephen,Coniglio,15,112
291969,Stephen,Coniglio,13,116
291969,Stephen,Coniglio,12,90
291969,Stephen,Coniglio,11,192
291969,Stephen,Coniglio,10,69
291969,Stephen,Coniglio,8,76
291969,Stephen,Coniglio,7,82
291969,Stephen,Coniglio,6,115
291969,Stephen,Coniglio,5,126
291969,Stephen,Coniglio,4,112
291969,Stephen,Coniglio,3,108
291969,Stephen,Coniglio,2,50
291969,Stephen,Coniglio,1,161
270917,Patrick,Dangerfield,23,150
270917,Patrick,Dangerfield,22,116
270917,Patrick,Dangerfield,21,114
270917,Patrick,Dangerfield,20,65
270917,Patrick,Dangerfield,19,107
270917,Patrick,Dangerfield,18,97
270917,Patrick,Dangerfield,17,123
270917,Patrick,Dangerfield,16,114
270917,Patrick,Dangerfield,15,92
270917,Patrick,Dangerfield,14,110
270917,Patrick,Dangerfield,12,162
270917,Patrick,Dangerfield,11,108
270917,Patrick,Dangerfield,9,88
270917,Patrick,Dangerfield,8,96
270917,Patrick,Dangerfield,7,38
270917,Patrick,Dangerfield,6,138
270917,Patrick,Dangerfield,5,104
270917,Patrick,Dangerfield,4,66
270917,Patrick,Dangerfield,3,132
270917,Patrick,Dangerfield,2,134
270917,Patrick,Dangerfield,1,103
990704,Patrick,Cripps,23,136
990704,Patrick,Cripps,22,69
990704,Patrick,Cripps,21,126
990704,Patrick,Cripps,20,75
990704,Patrick,Cripps,19,141
990704,Patrick,Cripps,18,55
990704,Patrick,Cripps,17,94
990704,Patrick,Cripps,13,67
990704,Patrick,Cripps,12,151
990704,Patrick,Cripps,11,63
990704,Patrick,Cripps,10,88
990704,Patrick,Cripps,9,45
990704,Patrick,Cripps,8,115
990704,Patrick,Cripps,7,111
990704,Patrick,Cripps,6,99
990704,Patrick,Cripps,5,93
990704,Patrick,Cripps,4,163
990704,Patrick,Cripps,3,121
990704,Patrick,Cripps,2,116
990704,Patrick,Cripps,1,101
271001,Dayne,Beams,11,54
271001,Dayne,Beams,10,82
271001,Dayne,Beams,9,99
271001,Dayne,Beams,7,64
271001,Dayne,Beams,6,100
271001,Dayne,Beams,5,95
271001,Dayne,Beams,3,86
271001,Dayne,Beams,2,128
271001,Dayne,Beams,1,90
290801,Andrew,Gaff,23,129
290801,Andrew,Gaff,22,104
290801,Andrew,Gaff,21,106
290801,Andrew,Gaff,20,107
290801,Andrew,Gaff,19,103
290801,Andrew,Gaff,18,107
290801,Andrew,Gaff,17,104
290801,Andrew,Gaff,16,100
290801,Andrew,Gaff,15,119
290801,Andrew,Gaff,14,92
290801,Andrew,Gaff,12,91
290801,Andrew,Gaff,11,123
290801,Andrew,Gaff,10,120
290801,Andrew,Gaff,9,126
290801,Andrew,Gaff,8,108
290801,Andrew,Gaff,7,144
290801,Andrew,Gaff,6,91
290801,Andrew,Gaff,5,115
290801,Andrew,Gaff,4,134
290801,Andrew,Gaff,3,97
291790,Adam,Treloar,23,109
291790,Adam,Treloar,22,92
291790,Adam,Treloar,21,107
291790,Adam,Treloar,20,129
291790,Adam,Treloar,19,126
291790,Adam,Treloar,18,111
291790,Adam,Treloar,17,121
291790,Adam,Treloar,16,102
291790,Adam,Treloar,15,129
291790,Adam,Treloar,14,128
291790,Adam,Treloar,12,124
291790,Adam,Treloar,11,74
291790,Adam,Treloar,10,114
291790,Adam,Treloar,9,113
291790,Adam,Treloar,8,116
291790,Adam,Treloar,7,120
291790,Adam,Treloar,6,105
291790,Adam,Treloar,5,112
291790,Adam,Treloar,4,82
291790,Adam,Treloar,3,98
291790,Adam,Treloar,2,152
291790,Adam,Treloar,1,125
292128,Elliot,Yeo,23,110
292128,Elliot,Yeo,22,117
292128,Elliot,Yeo,21,85
292128,Elliot,Yeo,20,117
292128,Elliot,Yeo,19,105
292128,Elliot,Yeo,18,91
292128,Elliot,Yeo,17,120
292128,Elliot,Yeo,16,83
292128,Elliot,Yeo,15,87
292128,Elliot,Yeo,14,132
292128,Elliot,Yeo,11,80
292128,Elliot,Yeo,10,132
292128,Elliot,Yeo,9,140
292128,Elliot,Yeo,8,97
292128,Elliot,Yeo,7,146
292128,Elliot,Yeo,6,101
292128,Elliot,Yeo,5,74
292128,Elliot,Yeo,4,105
292128,Elliot,Yeo,3,71
292128,Elliot,Yeo,2,73
292128,Elliot,Yeo,1,91
297401,Matt,Crouch,23,150
297401,Matt,Crouch,22,74
297401,Matt,Crouch,21,151
297401,Matt,Crouch,20,126
297401,Matt,Crouch,19,89
297401,Matt,Crouch,18,95
297401,Matt,Crouch,17,105
297401,Matt,Crouch,16,90
297401,Matt,Crouch,15,95
297401,Matt,Crouch,13,101
297401,Matt,Crouch,12,117
297401,Matt,Crouch,8,53
297401,Matt,Crouch,7,120
297401,Matt,Crouch,6,105
297401,Matt,Crouch,5,108
297401,Matt,Crouch,4,104
297401,Matt,Crouch,3,101
297401,Matt,Crouch,2,101
297401,Matt,Crouch,1,132
290528,Max,Gawn,23,154
290528,Max,Gawn,22,111
290528,Max,Gawn,21,90
290528,Max,Gawn,20,104
290528,Max,Gawn,19,128
290528,Max,Gawn,18,101
290528,Max,Gawn,17,105
290528,Max,Gawn,15,50
290528,Max,Gawn,14,129
290528,Max,Gawn,12,148
290528,Max,Gawn,11,126
290528,Max,Gawn,10,132
290528,Max,Gawn,9,125
290528,Max,Gawn,8,91
290528,Max,Gawn,7,121
290528,Max,Gawn,6,112
290528,Max,Gawn,5,97
290528,Max,Gawn,4,125
290528,Max,Gawn,3,107
290528,Max,Gawn,2,113
290528,Max,Gawn,1,68
291771,Devon,Smith,8,70
291771,Devon,Smith,7,86
291771,Devon,Smith,6,41
291771,Devon,Smith,4,79
291771,Devon,Smith,3,101
291771,Devon,Smith,2,86
291771,Devon,Smith,1,93
293846,Sebastian,Ross,23,103
293846,Sebastian,Ross,22,99
293846,Sebastian,Ross,21,112
293846,Sebastian,Ross,20,97
293846,Sebastian,Ross,19,146
293846,Sebastian,Ross,18,79
293846,Sebastian,Ross,17,78
293846,Sebastian,Ross,16,57
293846,Sebastian,Ross,15,107
293846,Sebastian,Ross,14,106
293846,Sebastian,Ross,13,101
